Particle,n_H,n_g,T_gas,T_dust,chi,F_X
198,3.16228E+05,6.32456E-07,7.42382E+02,1.32977E+02,9.99922E+04,0.00000E+00
199,3.16228E+05,6.32456E-07,7.42381E+02,1.32977E+02,9.99918E+04,0.00000E+00
200,3.16228E+05,6.32456E-07,7.42380E+02,1.32977E+02,9.99915E+04,0.00000E+00
201,3.16228E+05,6.32456E-07,7.42380E+02,1.32977E+02,9.99912E+04,0.00000E+00
202,3.16228E+05,6.32456E-07,7.42379E+02,1.32977E+02,9.99909E+04,0.00000E+00
203,3.16228E+05,6.32456E-07,7.42378E+02,1.32976E+02,9.99906E+04,0.00000E+00
204,3.16228E+05,6.32456E-07,7.42377E+02,1.32976E+02,9.99903E+04,0.00000E+00
205,3.16228E+05,6.32456E-07,7.42377E+02,1.32976E+02,9.99900E+04,0.00000E+00
206,3.16228E+05,6.32456E-07,7.42376E+02,1.32976E+02,9.99897E+04,0.00000E+00
207,3.16228E+05,6.32456E-07,7.42375E+02,1.32976E+02,9.99894E+04,0.00000E+00
208,3.16228E+05,6.32456E-07,7.42374E+02,1.32976E+02,9.99891E+04,0.00000E+00
209,3.16228E+05,6.32456E-07,7.42374E+02,1.32976E+02,9.99888E+04,0.00000E+00
210,3.16228E+05,6.32456E-07,7.42373E+02,1.32976E+02,9.99885E+04,0.00000E+00
211,3.16228E+05,6.32456E-07,7.42372E+02,1.32976E+02,9.99882E+04,0.00000E+00
212,3.16228E+05,6.32456E-07,7.42371E+02,1.32976E+02,9.99879E+04,0.00000E+00
213,3.16228E+05,6.32456E-07,7.42371E+02,1.32976E+02,9.99876E+04,0.00000E+00
214,3.16228E+05,6.32456E-07,7.42370E+02,1.32976E+02,9.99873E+04,0.00000E+00
215,3.16228E+05,6.32456E-07,7.42369E+02,1.32976E+02,9.99870E+04,0.00000E+00
216,3.16228E+05,6.32456E-07,7.42368E+02,1.32975E+02,9.99867E+04,0.00000E+00
217,3.16228E+05,6.32456E-07,7.42368E+02,1.32975E+02,9.99864E+04,0.00000E+00
218,3.16228E+05,6.32456E-07,7.42367E+02,1.32975E+02,9.99861E+04,0.00000E+00
219,3.16228E+05,6.32456E-07,7.42366E+02,1.32975E+02,9.99858E+04,0.00000E+00
220,3.16228E+05,6.32456E-07,7.42365E+02,1.32975E+02,9.99855E+04,0.00000E+00
221,3.16228E+05,6.32456E-07,7.42365E+02,1.32975E+02,9.99852E+04,0.00000E+00
222,3.16228E+05,6.32456E-07,7.42364E+02,1.32975E+02,9.99849E+04,0.00000E+00
223,3.16228E+05,6.32456E-07,7.42363E+02,1.32975E+02,9.99846E+04,0.00000E+00
224,3.16228E+05,6.32456E-07,7.42362E+02,1.32975E+02,9.99843E+04,0.00000E+00
225,3.16228E+05,6.32456E-07,7.42362E+02,1.32975E+02,9.99840E+04,0.00000E+00
226,3.16228E+05,6.32456E-07,7.42361E+02,1.32975E+02,9.99837E+04,0.00000E+00
