Particle Photoelectic H2Form H2*Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total
122 1.38656E-22 1.38708E-22 6.23099E-33 3.69899E-23 2.46308E-25 3.42531E-28 7.00000E-26 5.81422E-29 -1.90719E-25 0.00000E+00 3.14481E-22
123 1.38656E-22 1.38708E-22 6.23430E-33 3.69899E-23 2.46308E-25 3.42714E-28 7.00000E-26 5.81696E-29 -1.90719E-25 0.00000E+00 3.14480E-22
124 1.38656E-22 1.38708E-22 6.23762E-33 3.69898E-23 2.46308E-25 3.42896E-28 7.00000E-26 5.81970E-29 -1.90719E-25 0.00000E+00 3.14480E-22
125 1.38656E-22 1.38708E-22 6.24094E-33 3.69898E-23 2.46308E-25 3.43079E-28 7.00000E-26 5.82245E-29 -1.90719E-25 0.00000E+00 3.14480E-22
126 1.38656E-22 1.38708E-22 6.24427E-33 3.69898E-23 2.46308E-25 3.43262E-28 7.00000E-26 5.82519E-29 -1.90719E-25 0.00000E+00 3.14480E-22
127 1.38656E-22 1.38708E-22 6.24760E-33 3.69898E-23 2.46308E-25 3.43446E-28 7.00000E-26 5.82795E-29 -1.90719E-25 0.00000E+00 3.14480E-22
128 1.38656E-22 1.38708E-22 6.25094E-33 3.69897E-23 2.46308E-25 3.43629E-28 7.00000E-26 5.83070E-29 -1.90719E-25 0.00000E+00 3.14479E-22
129 1.38656E-22 1.38708E-22 6.25427E-33 3.69897E-23 2.46308E-25 3.43813E-28 7.00000E-26 5.83346E-29 -1.90719E-25 0.00000E+00 3.14479E-22
130 1.38656E-22 1.38708E-22 6.25761E-33 3.69897E-23 2.46308E-25 3.43997E-28 7.00000E-26 5.83622E-29 -1.90719E-25 0.00000E+00 3.14479E-22
131 1.38656E-22 1.38707E-22 6.26096E-33 3.69896E-23 2.46308E-25 3.44181E-28 7.00000E-26 5.83898E-29 -1.90719E-25 0.00000E+00 3.14479E-22
132 1.38656E-22 1.38707E-22 6.26410E-33 3.69896E-23 2.46308E-25 3.44354E-28 7.00000E-26 5.84158E-29 -1.90719E-25 0.00000E+00 3.14479E-22
133 1.38655E-22 1.38707E-22 6.26745E-33 3.69896E-23 2.46308E-25 3.44538E-28 7.00000E-26 5.84435E-29 -1.90719E-25 0.00000E+00 3.14478E-22
134 1.38655E-22 1.38707E-22 6.27081E-33 3.69896E-23 2.46308E-25 3.44723E-28 7.00000E-26 5.84712E-29 -1.90719E-25 0.00000E+00 3.14478E-22
135 1.38655E-22 1.38707E-22 6.27416E-33 3.69895E-23 2.46308E-25 3.44908E-28 7.00000E-26 5.84989E-29 -1.90719E-25 0.00000E+00 3.14478E-22
136 1.38655E-22 1.38707E-22 6.27753E-33 3.69895E-23 2.46308E-25 3.45093E-28 7.00000E-26 5.85267E-29 -1.90719E-25 0.00000E+00 3.14478E-22
137 1.38655E-22 1.38707E-22 6.28089E-33 3.69895E-23 2.46308E-25 3.45278E-28 7.00000E-26 5.85545E-29 -1.90719E-25 0.00000E+00 3.14477E-22
138 1.38655E-22 1.38707E-22 6.28426E-33 3.69895E-23 2.46308E-25 3.45464E-28 7.00000E-26 5.85824E-29 -1.90719E-25 0.00000E+00 3.14477E-22
139 1.38655E-22 1.38707E-22 6.28764E-33 3.69894E-23 2.46308E-25 3.45649E-28 7.00000E-26 5.86103E-29 -1.90719E-25 0.00000E+00 3.14477E-22
140 1.38655E-22 1.38707E-22 6.29101E-33 3.69894E-23 2.46308E-25 3.45835E-28 7.00000E-26 5.86382E-29 -1.90719E-25 0.00000E+00 3.14477E-22
141 1.38655E-22 1.38706E-22 6.29439E-33 3.69894E-23 2.46308E-25 3.46021E-28 7.00000E-26 5.86661E-29 -1.90719E-25 0.00000E+00 3.14477E-22
