Time,Density,gasTemp,dustTemp,av,H2O ,H2  ,H   ,H+  ,HE+ ,C   ,C+  ,O   ,O+  ,CO  ,CO+ ,E-  
  6.518E+03, 1.0000E+03,  200.81,   45.87, 1.0240E-06, 1.161E-19, 4.051E-08, 1.000E+00, 2.628E-06, 2.323E-07, 1.196E-10, 1.000E-04, 3.000E-04, 3.119E-10, 3.638E-15, 4.850E-16, 1.079E-04
  6.618E+03, 1.0000E+03,  200.83,   45.87, 1.0240E-06, 1.160E-19, 4.051E-08, 1.000E+00, 2.666E-06, 2.353E-07, 1.196E-10, 1.000E-04, 3.000E-04, 3.164E-10, 3.638E-15, 4.850E-16, 1.079E-04
  6.718E+03, 1.0000E+03,  200.86,   45.87, 1.0240E-06, 1.160E-19, 4.051E-08, 1.000E+00, 2.704E-06, 2.382E-07, 1.197E-10, 1.000E-04, 3.000E-04, 3.210E-10, 3.638E-15, 4.850E-16, 1.079E-04
  6.818E+03, 1.0000E+03,  200.88,   45.87, 1.0240E-06, 1.159E-19, 4.051E-08, 1.000E+00, 2.742E-06, 2.411E-07, 1.197E-10, 1.000E-04, 3.000E-04, 3.255E-10, 3.638E-15, 4.850E-16, 1.080E-04
  6.918E+03, 1.0000E+03,  200.91,   45.87, 1.0240E-06, 1.158E-19, 4.051E-08, 1.000E+00, 2.780E-06, 2.440E-07, 1.197E-10, 1.000E-04, 3.000E-04, 3.301E-10, 3.637E-15, 4.850E-16, 1.080E-04
  7.018E+03, 1.0000E+03,  200.94,   45.87, 1.0240E-06, 1.157E-19, 4.051E-08, 1.000E+00, 2.818E-06, 2.468E-07, 1.198E-10, 1.000E-04, 3.000E-04, 3.346E-10, 3.637E-15, 4.849E-16, 1.081E-04
  7.118E+03, 1.0000E+03,  200.96,   45.87, 1.0240E-06, 1.157E-19, 4.051E-08, 1.000E+00, 2.855E-06, 2.497E-07, 1.198E-10, 1.000E-04, 3.000E-04, 3.391E-10, 3.637E-15, 4.849E-16, 1.081E-04
  7.218E+03, 1.0000E+03,  200.98,   45.87, 1.0240E-06, 1.156E-19, 4.051E-08, 1.000E+00, 2.893E-06, 2.525E-07, 1.199E-10, 1.000E-04, 3.000E-04, 3.437E-10, 3.637E-15, 4.849E-16, 1.081E-04
  7.318E+03, 1.0000E+03,  201.01,   45.87, 1.0240E-06, 1.155E-19, 4.051E-08, 1.000E+00, 2.931E-06, 2.553E-07, 1.199E-10, 1.000E-04, 3.000E-04, 3.482E-10, 3.637E-15, 4.849E-16, 1.082E-04
  7.418E+03, 1.0000E+03,  201.04,   45.87, 1.0240E-06, 1.154E-19, 4.051E-08, 1.000E+00, 2.968E-06, 2.581E-07, 1.199E-10, 1.000E-04, 3.000E-04, 3.527E-10, 3.637E-15, 4.849E-16, 1.082E-04
  7.518E+03, 1.0000E+03,  201.06,   45.87, 1.0240E-06, 1.154E-19, 4.051E-08, 1.000E+00, 3.006E-06, 2.609E-07, 1.200E-10, 1.000E-04, 3.000E-04, 3.572E-10, 3.636E-15, 4.848E-16, 1.083E-04
  7.618E+03, 1.0000E+03,  201.09,   45.87, 1.0240E-06, 1.153E-19, 4.051E-08, 1.000E+00, 3.043E-06, 2.637E-07, 1.200E-10, 1.000E-04, 3.000E-04, 3.617E-10, 3.636E-15, 4.848E-16, 1.083E-04
  7.718E+03, 1.0000E+03,  201.12,   45.87, 1.0240E-06, 1.152E-19, 4.051E-08, 1.000E+00, 3.081E-06, 2.664E-07, 1.201E-10, 1.000E-04, 3.000E-04, 3.662E-10, 3.636E-15, 4.848E-16, 1.083E-04
  7.818E+03, 1.0000E+03,  201.15,   45.87, 1.0240E-06, 1.151E-19, 4.051E-08, 1.000E+00, 3.118E-06, 2.692E-07, 1.201E-10, 1.000E-04, 3.000E-04, 3.707E-10, 3.636E-15, 4.848E-16, 1.084E-04
  7.918E+03, 1.0000E+03,  201.18,   45.87, 1.0240E-06, 1.150E-19, 4.051E-08, 1.000E+00, 3.156E-06, 2.719E-07, 1.201E-10, 1.000E-04, 3.000E-04, 3.752E-10, 3.636E-15, 4.847E-16, 1.084E-04
  8.018E+03, 1.0000E+03,  201.21,   45.87, 1.0240E-06, 1.149E-19, 4.051E-08, 1.000E+00, 3.193E-06, 2.746E-07, 1.202E-10, 1.000E-04, 3.000E-04, 3.797E-10, 3.636E-15, 4.847E-16, 1.085E-04
  8.118E+03, 1.0000E+03,  201.24,   45.87, 1.0240E-06, 1.149E-19, 4.051E-08, 1.000E+00, 3.230E-06, 2.773E-07, 1.202E-10, 1.000E-04, 3.000E-04, 3.842E-10, 3.635E-15, 4.847E-16, 1.085E-04
  8.218E+03, 1.0000E+03,  201.27,   45.87, 1.0240E-06, 1.148E-19, 4.051E-08, 1.000E+00, 3.267E-06, 2.800E-07, 1.202E-10, 1.000E-04, 3.000E-04, 3.887E-10, 3.635E-15, 4.847E-16, 1.085E-04
  8.318E+03, 1.0000E+03,  201.30,   45.87, 1.0240E-06, 1.147E-19, 4.051E-08, 1.000E+00, 3.305E-06, 2.826E-07, 1.203E-10, 1.000E-04, 3.000E-04, 3.932E-10, 3.635E-15, 4.846E-16, 1.086E-04
  8.418E+03, 1.0000E+03,  201.33,   45.87, 1.0240E-06, 1.146E-19, 4.051E-08, 1.000E+00, 3.342E-06, 2.853E-07, 1.203E-10, 1.000E-04, 3.000E-04, 3.977E-10, 3.635E-15, 4.846E-16, 1.086E-04
